aircraft_code;seat_no;fare_conditions
YWY;10D;BUISNESS
YWY;11A;BASE
YWY;11B;ADVANCE
YWY;11C;BASE
YWY;11D;ECONOMY
YWY;12A;ECONOMY
YWY;12B;ULTRAKAIF
YWY;12C;ECONOMY
YWY;12D;PREMIUM
YWY;13A;BASE
YWY;13B;ECONOMY
YWY;13C;BASE
YWY;13D;ADVANCE
YWY;14A;ECONOMY
YWY;14B;BUISNESS
YWY;14C;ADVANCE
YWY;14D;ECONOMY
YWY;15A;BASE
YWY;15B;BUISNESS
YWY;15C;ECONOMY
YWY;15D;BASE
YWY;16A;ECONOMY
YWY;16B;ADVANCE
YWY;16C;BASE
YWY;16D;PREMIUM
YWY;17A;ADVANCE
YWY;17B;ADVANCE
YWY;17C;ADVANCE
YWY;17D;ADVANCE
YWY;18A;PREMIUM
YWY;18B;PREMIUM
YWY;18C;ADVANCE
YWY;18D;ULTRAKAIF
YWY;19A;PREMIUM
YWY;19B;BASE
YWY;19C;ECONOMY
YWY;19D;PREMIUM
YWY;20A;ADVANCE
YWY;20B;BUISNESS
YWY;20C;ECONOMY
YWY;20D;ULTRAKAIF
YWY;21A;BUISNESS
YWY;21B;ADVANCE
YWY;21C;BUISNESS
YWY;21D;PREMIUM
YWY;22A;BUISNESS
YWY;22B;PREMIUM
YWY;22C;PREMIUM
YWY;22D;ECONOMY
YWY;23A;PREMIUM
YWY;23B;BASE
YWY;23C;PREMIUM
YWY;23D;ULTRAKAIF
YWY;24A;ECONOMY
YWY;24B;BUISNESS
YWY;24C;ULTRAKAIF
YWY;24D;BUISNESS
YWY;25A;ECONOMY
YWY;25B;ULTRAKAIF
YWY;25C;ADVANCE
YWY;25D;ULTRAKAIF
YWY;26A;ADVANCE
YWY;26B;ADVANCE
YWY;26C;ADVANCE
YWY;26D;ECONOMY
YWY;27A;ADVANCE
YWY;27B;ULTRAKAIF
YWY;27C;BUISNESS
YWY;27D;ULTRAKAIF
YWY;28A;BASE
YWY;28B;ADVANCE
YWY;28C;BUISNESS
YWY;28D;ADVANCE
YWY;29A;BUISNESS
YWY;29B;ECONOMY
YWY;29C;ULTRAKAIF
YWY;29D;BASE
YWY;30A;ULTRAKAIF
YWY;30B;ADVANCE
YWY;30C;BASE
YWY;30D;ADVANCE
YWY;31A;ULTRAKAIF
YWY;31B;ADVANCE
YWY;31C;PREMIUM
YWY;31D;ECONOMY
YWY;32A;ADVANCE
YWY;32B;BUISNESS
YWY;32C;ADVANCE
YWY;32D;BUISNESS
YWY;33A;ULTRAKAIF
YWY;33B;PREMIUM
YWY;33C;ADVANCE
YWY;33D;ULTRAKAIF
YWY;34A;BASE
YWY;34B;BASE
YWY;34C;BUISNESS
YWY;34D;BASE
YWY;35A;ECONOMY
YWY;35B;BASE
YWY;35C;BUISNESS
YWY;35D;ULTRAKAIF
YWY;36A;BUISNESS
YWY;36B;PREMIUM
YWY;36C;PREMIUM
YWY;36D;ULTRAKAIF
YWY;37A;BASE
YWY;37B;BUISNESS
YWY;37C;BASE
YWY;37D;ECONOMY
YWY;38A;ECONOMY
YWY;38B;PREMIUM
YWY;38C;ECONOMY
YWY;38D;BASE
YWY;39A;ULTRAKAIF
YWY;39B;PREMIUM
YWY;39C;ECONOMY
YWY;39D;BUISNESS
YWY;40A;ULTRAKAIF
YWY;40B;BUISNESS
YWY;40C;PREMIUM
YWY;40D;ULTRAKAIF
KGL;1A;ECONOMY
KGL;1B;ECONOMY
KGL;1C;ECONOMY
KGL;1D;ECONOMY
KGL;2A;ADVANCE
KGL;2B;BASE
KGL;2C;BUISNESS
KGL;2D;ECONOMY
KGL;3A;BASE
KGL;3B;ULTRAKAIF
KGL;3C;ADVANCE
KGL;3D;ADVANCE
KGL;4A;ECONOMY
KGL;4B;BASE
KGL;4C;ADVANCE
KGL;4D;ECONOMY
KGL;5A;ULTRAKAIF
KGL;5B;ULTRAKAIF
KGL;5C;ULTRAKAIF
KGL;5D;PREMIUM
KGL;6A;BASE
KGL;6B;ADVANCE
KGL;6C;BASE
KGL;6D;BASE
KGL;7A;ECONOMY
KGL;7B;ECONOMY
KGL;7C;PREMIUM
KGL;7D;ADVANCE
KGL;8A;PREMIUM
KGL;8B;ULTRAKAIF
KGL;8C;ADVANCE
KGL;8D;BASE
KGL;9A;ULTRAKAIF
KGL;9B;BASE
KGL;9C;BASE
KGL;9D;BUISNESS
KGL;10A;BASE
KGL;10B;BUISNESS
KGL;10C;ECONOMY
KGL;10D;ADVANCE
KGL;11A;BASE
KGL;11B;ULTRAKAIF
KGL;11C;ULTRAKAIF
KGL;11D;BASE
KGL;12A;BUISNESS
KGL;12B;PREMIUM
KGL;12C;ULTRAKAIF
KGL;12D;ULTRAKAIF
KGL;13A;ECONOMY
KGL;13B;PREMIUM
KGL;13C;ECONOMY
KGL;13D;ECONOMY
KGL;14A;PREMIUM
KGL;14B;PREMIUM
KGL;14C;ULTRAKAIF
KGL;14D;PREMIUM
KGL;15A;ADVANCE
KGL;15B;BUISNESS
KGL;15C;BUISNESS
KGL;15D;BUISNESS
KGL;16A;PREMIUM
KGL;16B;PREMIUM
KGL;16C;BASE
KGL;16D;ULTRAKAIF
KGL;17A;PREMIUM
KGL;17B;ECONOMY
KGL;17C;PREMIUM
KGL;17D;BUISNESS
KGL;18A;ECONOMY
KGL;18B;PREMIUM
KGL;18C;BASE
KGL;18D;ULTRAKAIF
KGL;19A;BASE
KGL;19B;ADVANCE
KGL;19C;BASE
KGL;19D;ECONOMY
KGL;20A;ECONOMY
KGL;20B;ADVANCE
KGL;20C;ULTRAKAIF
KGL;20D;BUISNESS
KGL;21A;BUISNESS
KGL;21B;ULTRAKAIF
KGL;21C;BASE
KGL;21D;ECONOMY
KGL;22A;BUISNESS
KGL;22B;PREMIUM
KGL;22C;BASE
KGL;22D;BASE
KGL;23A;ULTRAKAIF
KGL;23B;ADVANCE
KGL;23C;ULTRAKAIF
KGL;23D;BASE
KGL;24A;BUISNESS
KGL;24B;BUISNESS
KGL;24C;ECONOMY
KGL;24D;ADVANCE
KGL;25A;ECONOMY
KGL;25B;BASE
KGL;25C;BUISNESS
KGL;25D;ECONOMY
KGL;26A;BASE
KGL;26B;ULTRAKAIF
KGL;26C;BASE
KGL;26D;PREMIUM
KGL;27A;BUISNESS
KGL;27B;BUISNESS
KGL;27C;ULTRAKAIF
KGL;27D;ECONOMY
KGL;28A;ULTRAKAIF
KGL;28B;ECONOMY
KGL;28C;BASE
KGL;28D;BASE
KGL;29A;ADVANCE
KGL;29B;BASE
KGL;29C;ECONOMY
KGL;29D;PREMIUM
KGL;30A;BASE
KGL;30B;ECONOMY
KGL;30C;ULTRAKAIF
KGL;30D;ADVANCE
KGL;31A;ECONOMY
KGL;31B;PREMIUM
KGL;31C;PREMIUM
KGL;31D;ULTRAKAIF
KGL;32A;ULTRAKAIF
KGL;32B;ECONOMY
KGL;32C;ULTRAKAIF
KGL;32D;ADVANCE
KGL;33A;PREMIUM
KGL;33B;ECONOMY
KGL;33C;BUISNESS
KGL;33D;ADVANCE
KGL;34A;ECONOMY
KGL;34B;ADVANCE
KGL;34C;ULTRAKAIF
KGL;34D;BUISNESS
KGL;35A;BASE
KGL;35B;BASE
KGL;35C;BUISNESS
KGL;35D;ECONOMY
KGL;36A;PREMIUM
KGL;36B;BUISNESS
KGL;36C;ECONOMY
KGL;36D;ECONOMY
KGL;37A;ADVANCE
KGL;37B;BASE
KGL;37C;BASE
KGL;37D;BUISNESS
KGL;38A;ECONOMY
KGL;38B;BASE
KGL;38C;ADVANCE
KGL;38D;BASE
KGL;39A;ULTRAKAIF
KGL;39B;ADVANCE
KGL;39C;ECONOMY
KGL;39D;PREMIUM
KGL;40A;PREMIUM
KGL;40B;ECONOMY
KGL;40C;ADVANCE
KGL;40D;ECONOMY
PKQ;1A;ADVANCE
PKQ;1B;BASE
PKQ;1C;BUISNESS
PKQ;1D;BUISNESS
PKQ;2A;BASE
PKQ;2B;BASE
PKQ;2C;ULTRAKAIF
PKQ;2D;ADVANCE
PKQ;3A;BUISNESS
PKQ;3B;ULTRAKAIF
PKQ;3C;ECONOMY
PKQ;3D;BUISNESS
PKQ;4A;PREMIUM
PKQ;4B;ULTRAKAIF
PKQ;4C;ECONOMY
PKQ;4D;BASE
PKQ;5A;ULTRAKAIF
PKQ;5B;PREMIUM
PKQ;5C;BUISNESS
PKQ;5D;BASE
PKQ;6A;BASE
PKQ;6B;ULTRAKAIF
PKQ;6C;ADVANCE
PKQ;6D;PREMIUM
PKQ;7A;PREMIUM
PKQ;7B;ULTRAKAIF
PKQ;7C;ECONOMY
PKQ;7D;ECONOMY
PKQ;8A;PREMIUM
PKQ;8B;PREMIUM
PKQ;8C;BUISNESS
PKQ;8D;ULTRAKAIF
PKQ;9A;ADVANCE
PKQ;9B;ULTRAKAIF
PKQ;9C;ADVANCE
PKQ;9D;BUISNESS
PKQ;10A;BUISNESS
PKQ;10B;ADVANCE
PKQ;10C;BASE
PKQ;10D;BUISNESS
PKQ;11A;BASE
PKQ;11B;ADVANCE
PKQ;11C;PREMIUM
PKQ;11D;PREMIUM
PKQ;12A;ADVANCE
PKQ;12B;BUISNESS
PKQ;12C;ADVANCE
PKQ;12D;ADVANCE
PKQ;13A;BUISNESS
PKQ;13B;ECONOMY
PKQ;13C;PREMIUM
PKQ;13D;BUISNESS
PKQ;14A;BASE
PKQ;14B;BUISNESS
PKQ;14C;ADVANCE
PKQ;14D;ULTRAKAIF
PKQ;15A;ULTRAKAIF
PKQ;15B;ADVANCE
PKQ;15C;BUISNESS
PKQ;15D;ULTRAKAIF
PKQ;16A;PREMIUM
PKQ;16B;ADVANCE
PKQ;16C;ULTRAKAIF
PKQ;16D;ECONOMY
PKQ;17A;BASE
PKQ;17B;BASE
PKQ;17C;BASE
PKQ;17D;ULTRAKAIF
PKQ;18A;ULTRAKAIF
PKQ;18B;BUISNESS
PKQ;18C;ADVANCE
PKQ;18D;BUISNESS
PKQ;19A;BUISNESS
PKQ;19B;ADVANCE
PKQ;19C;BUISNESS
PKQ;19D;PREMIUM
PKQ;20A;BUISNESS
PKQ;20B;BUISNESS
PKQ;20C;BASE
PKQ;20D;ECONOMY
PKQ;21A;PREMIUM
PKQ;21B;PREMIUM
PKQ;21C;PREMIUM
PKQ;21D;ECONOMY
PKQ;22A;ULTRAKAIF
PKQ;22B;BUISNESS
PKQ;22C;PREMIUM
PKQ;22D;PREMIUM
PKQ;23A;BASE
PKQ;23B;ECONOMY
PKQ;23C;ULTRAKAIF
PKQ;23D;PREMIUM
PKQ;24A;ECONOMY
PKQ;24B;BASE
PKQ;24C;BUISNESS
PKQ;24D;BUISNESS
PKQ;25A;BUISNESS
PKQ;25B;ADVANCE
PKQ;25C;ADVANCE
PKQ;25D;ECONOMY
PKQ;26A;ECONOMY
PKQ;26B;ECONOMY
PKQ;26C;ECONOMY
PKQ;26D;BUISNESS
PKQ;27A;ULTRAKAIF
PKQ;27B;ADVANCE
PKQ;27C;ECONOMY
PKQ;27D;PREMIUM
PKQ;28A;ECONOMY
PKQ;28B;PREMIUM
PKQ;28C;ADVANCE
PKQ;28D;BUISNESS
PKQ;29A;BUISNESS
PKQ;29B;BASE
PKQ;29C;ADVANCE
PKQ;29D;ADVANCE
PKQ;30A;PREMIUM
PKQ;30B;ECONOMY
PKQ;30C;ECONOMY
PKQ;30D;ULTRAKAIF
PKQ;31A;ECONOMY
PKQ;31B;ADVANCE
PKQ;31C;PREMIUM
PKQ;31D;BUISNESS
PKQ;32A;BASE
PKQ;32B;BASE
PKQ;32C;ULTRAKAIF
PKQ;32D;BASE
PKQ;33A;ADVANCE
PKQ;33B;ULTRAKAIF
PKQ;33C;ULTRAKAIF
PKQ;33D;BASE
PKQ;34A;BUISNESS
PKQ;34B;ULTRAKAIF
PKQ;34C;ECONOMY
PKQ;34D;ULTRAKAIF
PKQ;35A;ADVANCE
PKQ;35B;BASE
PKQ;35C;ECONOMY
PKQ;35D;BASE
PKQ;36A;BASE
PKQ;36B;PREMIUM
PKQ;36C;ADVANCE
PKQ;36D;BUISNESS
PKQ;37A;BUISNESS
PKQ;37B;ADVANCE
PKQ;37C;ULTRAKAIF
PKQ;37D;ADVANCE
PKQ;38A;BASE
PKQ;38B;BASE
PKQ;38C;ADVANCE
PKQ;38D;ADVANCE
PKQ;39A;ADVANCE
PKQ;39B;PREMIUM
PKQ;39C;BUISNESS
PKQ;39D;BASE
PKQ;40A;PREMIUM
PKQ;40B;ULTRAKAIF
PKQ;40C;BASE
PKQ;40D;ADVANCE
QKE;1A;BASE
QKE;1B;PREMIUM
QKE;1C;ADVANCE
QKE;1D;ECONOMY
QKE;2A;ULTRAKAIF
QKE;2B;BUISNESS
QKE;2C;BASE
QKE;2D;ECONOMY
QKE;3A;ULTRAKAIF
QKE;3B;ECONOMY
QKE;3C;PREMIUM
QKE;3D;BUISNESS
QKE;4A;PREMIUM
QKE;4B;ULTRAKAIF
QKE;4C;BASE
QKE;4D;BUISNESS
QKE;5A;ULTRAKAIF
QKE;5B;ULTRAKAIF
QKE;5C;ADVANCE
QKE;5D;ADVANCE
QKE;6A;PREMIUM
QKE;6B;ULTRAKAIF
QKE;6C;ECONOMY
QKE;6D;ECONOMY
QKE;7A;BUISNESS
QKE;7B;BUISNESS
QKE;7C;BASE
QKE;7D;ULTRAKAIF
QKE;8A;BUISNESS
QKE;8B;BUISNESS
QKE;8C;PREMIUM
QKE;8D;ECONOMY
QKE;9A;BUISNESS
QKE;9B;ULTRAKAIF
QKE;9C;PREMIUM
QKE;9D;BASE
QKE;10A;ECONOMY
QKE;10B;ECONOMY
QKE;10C;BUISNESS
QKE;10D;ADVANCE
QKE;11A;BUISNESS
QKE;11B;BUISNESS
QKE;11C;ULTRAKAIF
QKE;11D;BASE
QKE;12A;PREMIUM
QKE;12B;PREMIUM
QKE;12C;ADVANCE
QKE;12D;ULTRAKAIF
QKE;13A;BUISNESS
QKE;13B;ULTRAKAIF
QKE;13C;BASE
QKE;13D;ADVANCE
QKE;14A;PREMIUM
QKE;14B;ADVANCE
QKE;14C;ULTRAKAIF
QKE;14D;ECONOMY
QKE;15A;BASE
QKE;15B;ECONOMY
QKE;15C;BUISNESS
QKE;15D;ECONOMY
QKE;16A;ULTRAKAIF
QKE;16B;PREMIUM
QKE;16C;ULTRAKAIF
QKE;16D;BASE
QKE;17A;BUISNESS
QKE;17B;BUISNESS
QKE;17C;ULTRAKAIF
QKE;17D;ULTRAKAIF
QKE;18A;ULTRAKAIF
QKE;18B;BASE
QKE;18C;ECONOMY
QKE;18D;BASE
QKE;19A;PREMIUM
QKE;19B;ADVANCE
QKE;19C;ULTRAKAIF
QKE;19D;ULTRAKAIF
QKE;20A;ECONOMY
QKE;20B;ECONOMY
QKE;20C;PREMIUM
QKE;20D;ULTRAKAIF
QKE;21A;BUISNESS
QKE;21B;BASE
QKE;21C;BUISNESS
QKE;21D;ULTRAKAIF
QKE;22A;BUISNESS
QKE;22B;BASE
QKE;22C;ECONOMY
QKE;22D;ECONOMY
QKE;23A;BASE
QKE;23B;PREMIUM
QKE;23C;BASE
QKE;23D;ULTRAKAIF
QKE;24A;BASE
QKE;24B;PREMIUM
QKE;24C;ECONOMY
QKE;24D;ADVANCE
QKE;25A;ULTRAKAIF
QKE;25B;PREMIUM
QKE;25C;PREMIUM
QKE;25D;ULTRAKAIF
QKE;26A;BASE
QKE;26B;BASE
QKE;26C;BUISNESS
QKE;26D;BASE
QKE;27A;PREMIUM
QKE;27B;BUISNESS
QKE;27C;BASE
QKE;27D;ECONOMY
QKE;28A;PREMIUM
QKE;28B;ULTRAKAIF
QKE;28C;ECONOMY
QKE;28D;PREMIUM
QKE;29A;ADVANCE
QKE;29B;BASE
QKE;29C;ADVANCE
QKE;29D;ULTRAKAIF
QKE;30A;ECONOMY
QKE;30B;ULTRAKAIF
QKE;30C;BASE
QKE;30D;ECONOMY
QKE;31A;ADVANCE
QKE;31B;BASE
QKE;31C;ECONOMY
QKE;31D;BUISNESS
QKE;32A;BASE
QKE;32B;BUISNESS
QKE;32C;PREMIUM
QKE;32D;ECONOMY
QKE;33A;ECONOMY
QKE;33B;PREMIUM
QKE;33C;ULTRAKAIF
QKE;33D;BUISNESS
QKE;34A;ADVANCE
QKE;34B;BUISNESS
QKE;34C;ULTRAKAIF
QKE;34D;ADVANCE
QKE;35A;BUISNESS
QKE;35B;BASE
QKE;35C;BUISNESS
QKE;35D;BASE
QKE;36A;ULTRAKAIF
QKE;36B;BUISNESS
QKE;36C;ADVANCE
QKE;36D;ADVANCE
QKE;37A;BASE
QKE;37B;PREMIUM
QKE;37C;BASE
QKE;37D;ULTRAKAIF
QKE;38A;PREMIUM
QKE;38B;ULTRAKAIF
QKE;38C;BUISNESS
QKE;38D;BUISNESS
QKE;39A;ULTRAKAIF
QKE;39B;BUISNESS
QKE;39C;ULTRAKAIF
QKE;39D;ADVANCE
QKE;40A;ADVANCE
QKE;40B;ECONOMY
QKE;40C;ULTRAKAIF
QKE;40D;ULTRAKAIF
SQE;1A;ECONOMY
SQE;1B;PREMIUM
SQE;1C;BUISNESS
SQE;1D;PREMIUM
SQE;2A;ULTRAKAIF
SQE;2B;BUISNESS
SQE;2C;BASE
SQE;2D;BASE
SQE;3A;ADVANCE
SQE;3B;ULTRAKAIF
SQE;3C;BASE
SQE;3D;ULTRAKAIF
SQE;4A;ADVANCE
SQE;4B;ECONOMY
SQE;4C;ULTRAKAIF
SQE;4D;BASE
SQE;5A;BUISNESS
SQE;5B;ECONOMY
SQE;5C;ADVANCE
SQE;5D;PREMIUM
SQE;6A;ADVANCE
SQE;6B;BUISNESS
SQE;6C;BASE
SQE;6D;BUISNESS
SQE;7A;PREMIUM
SQE;7B;BUISNESS
SQE;7C;ADVANCE
SQE;7D;PREMIUM
SQE;8A;PREMIUM
SQE;8B;BASE
SQE;8C;ECONOMY
SQE;8D;PREMIUM
SQE;9A;BUISNESS
SQE;9B;PREMIUM
SQE;9C;ADVANCE
SQE;9D;ECONOMY
SQE;10A;BASE
SQE;10B;ECONOMY
SQE;10C;PREMIUM
SQE;10D;BASE
SQE;11A;ECONOMY
SQE;11B;ADVANCE
SQE;11C;PREMIUM
SQE;11D;BASE
SQE;12A;BUISNESS
SQE;12B;ADVANCE
SQE;12C;BASE
SQE;12D;PREMIUM
SQE;13A;ADVANCE
SQE;13B;ECONOMY
SQE;13C;BASE
SQE;13D;ULTRAKAIF
SQE;14A;ULTRAKAIF
SQE;14B;BASE
SQE;14C;BUISNESS
SQE;14D;ULTRAKAIF
SQE;15A;ECONOMY
SQE;15B;ULTRAKAIF
SQE;15C;ULTRAKAIF
SQE;15D;ADVANCE
SQE;16A;ECONOMY
SQE;16B;ECONOMY
SQE;16C;ULTRAKAIF
SQE;16D;ULTRAKAIF
SQE;17A;PREMIUM
SQE;17B;ECONOMY
SQE;17C;ADVANCE
SQE;17D;ECONOMY
SQE;18A;PREMIUM
SQE;18B;BASE
SQE;18C;ULTRAKAIF
SQE;18D;BASE
SQE;19A;ADVANCE
SQE;19B;BUISNESS
SQE;19C;ECONOMY
SQE;19D;BASE
SQE;20A;ULTRAKAIF
SQE;20B;ADVANCE
SQE;20C;ULTRAKAIF
SQE;20D;ULTRAKAIF
SQE;21A;ULTRAKAIF
SQE;21B;ADVANCE
SQE;21C;ULTRAKAIF
SQE;21D;ADVANCE
SQE;22A;PREMIUM
SQE;22B;ULTRAKAIF
SQE;22C;ADVANCE
SQE;22D;PREMIUM
SQE;23A;ULTRAKAIF
SQE;23B;BUISNESS
SQE;23C;BASE
SQE;23D;ADVANCE
SQE;24A;PREMIUM
SQE;24B;ADVANCE
SQE;24C;BASE
SQE;24D;BUISNESS
SQE;25A;ECONOMY
SQE;25B;ADVANCE
SQE;25C;PREMIUM
SQE;25D;ADVANCE
SQE;26A;PREMIUM
SQE;26B;ULTRAKAIF
SQE;26C;BUISNESS
SQE;26D;ULTRAKAIF
SQE;27A;ECONOMY
SQE;27B;BUISNESS
SQE;27C;BASE
SQE;27D;ULTRAKAIF
SQE;28A;ECONOMY
SQE;28B;PREMIUM
SQE;28C;ADVANCE
SQE;28D;BASE
SQE;29A;BASE
SQE;29B;ECONOMY
SQE;29C;ECONOMY
SQE;29D;BUISNESS
SQE;30A;ULTRAKAIF
SQE;30B;ADVANCE
SQE;30C;ULTRAKAIF
SQE;30D;PREMIUM
SQE;31A;ADVANCE
SQE;31B;ULTRAKAIF
SQE;31C;ADVANCE
SQE;31D;BUISNESS
SQE;32A;ADVANCE
SQE;32B;BUISNESS
SQE;32C;ADVANCE
SQE;32D;BASE
SQE;33A;ULTRAKAIF
SQE;33B;ECONOMY
SQE;33C;BUISNESS
SQE;33D;ADVANCE
SQE;34A;ECONOMY
SQE;34B;ULTRAKAIF
SQE;34C;PREMIUM
SQE;34D;ULTRAKAIF
SQE;35A;ULTRAKAIF
SQE;35B;ADVANCE
SQE;35C;PREMIUM
SQE;35D;ULTRAKAIF
SQE;36A;ADVANCE
SQE;36B;ECONOMY
SQE;36C;BASE
SQE;36D;ULTRAKAIF
SQE;37A;ADVANCE
SQE;37B;BUISNESS
SQE;37C;ULTRAKAIF
SQE;37D;ECONOMY
SQE;38A;ECONOMY
SQE;38B;BASE
SQE;38C;PREMIUM
SQE;38D;ADVANCE
SQE;39A;PREMIUM
SQE;39B;PREMIUM
SQE;39C;BUISNESS
SQE;39D;ECONOMY
SQE;40A;PREMIUM
SQE;40B;PREMIUM
SQE;40C;BUISNESS
SQE;40D;PREMIUM
KOL;1A;BASE
KOL;1B;PREMIUM
KOL;1C;ULTRAKAIF
KOL;1D;BUISNESS
KOL;2A;ADVANCE
KOL;2B;BASE
KOL;2C;PREMIUM
KOL;2D;BUISNESS
KOL;3A;BUISNESS
KOL;3B;ULTRAKAIF
KOL;3C;PREMIUM
KOL;3D;ECONOMY
KOL;4A;ULTRAKAIF
KOL;4B;ULTRAKAIF
KOL;4C;BASE
KOL;4D;ULTRAKAIF
KOL;5A;ADVANCE
KOL;5B;ULTRAKAIF
KOL;5C;PREMIUM
KOL;5D;ECONOMY
KOL;6A;PREMIUM
KOL;6B;BUISNESS
KOL;6C;ECONOMY
KOL;6D;ADVANCE
KOL;7A;PREMIUM
KOL;7B;BASE
KOL;7C;BASE
KOL;7D;ADVANCE
KOL;8A;ULTRAKAIF
KOL;8B;ECONOMY
KOL;8C;ECONOMY
KOL;8D;BASE
KOL;9A;ULTRAKAIF
KOL;9B;BASE
KOL;9C;PREMIUM
KOL;9D;BASE
KOL;10A;ECONOMY
KOL;10B;ULTRAKAIF
KOL;10C;ULTRAKAIF
KOL;10D;BASE
KOL;11A;BASE
KOL;11B;ECONOMY
KOL;11C;ECONOMY
KOL;11D;ULTRAKAIF
KOL;12A;BASE
KOL;12B;BASE
KOL;12C;BASE
KOL;12D;BASE
KOL;13A;PREMIUM
KOL;13B;ULTRAKAIF
KOL;13C;BASE
KOL;13D;BUISNESS
KOL;14A;BASE
KOL;14B;BASE
KOL;14C;ADVANCE
KOL;14D;PREMIUM
KOL;15A;BUISNESS
KOL;15B;ULTRAKAIF
KOL;15C;BUISNESS
KOL;15D;BASE
KOL;16A;ECONOMY
KOL;16B;ADVANCE
KOL;16C;ULTRAKAIF
KOL;16D;BUISNESS
KOL;17A;BUISNESS
KOL;17B;ULTRAKAIF
KOL;17C;PREMIUM
KOL;17D;ADVANCE
KOL;18A;BUISNESS
KOL;18B;BUISNESS
KOL;18C;ULTRAKAIF
KOL;18D;ULTRAKAIF
KOL;19A;BUISNESS
KOL;19B;PREMIUM
KOL;19C;ADVANCE
KOL;19D;ULTRAKAIF
KOL;20A;ULTRAKAIF
KOL;20B;ECONOMY
KOL;20C;BUISNESS
KOL;20D;PREMIUM
KOL;21A;PREMIUM
KOL;21B;PREMIUM
KOL;21C;PREMIUM
KOL;21D;ADVANCE
KOL;22A;BASE
KOL;22B;PREMIUM
KOL;22C;BASE
KOL;22D;ECONOMY
KOL;23A;ECONOMY
KOL;23B;ADVANCE
KOL;23C;ADVANCE
KOL;23D;ULTRAKAIF
KOL;24A;PREMIUM
KOL;24B;ULTRAKAIF
KOL;24C;ULTRAKAIF
KOL;24D;ADVANCE
KOL;25A;ADVANCE
KOL;25B;BASE
KOL;25C;PREMIUM
KOL;25D;ECONOMY
KOL;26A;ULTRAKAIF
KOL;26B;BUISNESS
KOL;26C;BUISNESS
KOL;26D;PREMIUM
KOL;27A;ECONOMY
KOL;27B;ULTRAKAIF
KOL;27C;ECONOMY
KOL;27D;ECONOMY
KOL;28A;ULTRAKAIF
KOL;28B;BUISNESS
KOL;28C;BASE
KOL;28D;PREMIUM
KOL;29A;BUISNESS
KOL;29B;PREMIUM
KOL;29C;PREMIUM
KOL;29D;ECONOMY
KOL;30A;ECONOMY
KOL;30B;ULTRAKAIF
KOL;30C;BUISNESS
KOL;30D;ULTRAKAIF
KOL;31A;ECONOMY
KOL;31B;PREMIUM
KOL;31C;ECONOMY
KOL;31D;PREMIUM
KOL;32A;PREMIUM
KOL;32B;ADVANCE
KOL;32C;ECONOMY
KOL;32D;BUISNESS
KOL;33A;ADVANCE
KOL;33B;BUISNESS
KOL;33C;BUISNESS
KOL;33D;ECONOMY
KOL;34A;ULTRAKAIF
KOL;34B;ADVANCE
KOL;34C;ADVANCE
KOL;34D;BUISNESS
KOL;35A;BASE
KOL;35B;ECONOMY
KOL;35C;ECONOMY
KOL;35D;BASE
KOL;36A;BASE
KOL;36B;BASE
KOL;36C;ECONOMY
KOL;36D;PREMIUM
KOL;37A;PREMIUM
KOL;37B;ECONOMY
KOL;37C;ULTRAKAIF
KOL;37D;ECONOMY
KOL;38A;ECONOMY
KOL;38B;PREMIUM
KOL;38C;ECONOMY
KOL;38D;ADVANCE
KOL;39A;BASE
KOL;39B;ADVANCE
KOL;39C;BASE
KOL;39D;PREMIUM
KOL;40A;ULTRAKAIF
KOL;40B;ULTRAKAIF
KOL;40C;PREMIUM
KOL;40D;PREMIUM
OZG;1A;BASE
OZG;1B;ULTRAKAIF
OZG;1C;PREMIUM
OZG;1D;ULTRAKAIF
OZG;2A;ADVANCE
OZG;2B;BASE
OZG;2C;ULTRAKAIF
OZG;2D;BASE
OZG;3A;ADVANCE
OZG;3B;ULTRAKAIF
OZG;3C;BASE
OZG;3D;ECONOMY
OZG;4A;ADVANCE
OZG;4B;BASE
OZG;4C;BASE
OZG;4D;ULTRAKAIF
OZG;5A;ADVANCE
OZG;5B;ADVANCE
OZG;5C;BUISNESS
OZG;5D;BASE
OZG;6A;BASE
OZG;6B;ULTRAKAIF
OZG;6C;PREMIUM
OZG;6D;BUISNESS
OZG;7A;BUISNESS
OZG;7B;BASE
OZG;7C;BASE
OZG;7D;ULTRAKAIF
OZG;8A;ECONOMY
OZG;8B;PREMIUM
OZG;8C;ECONOMY
OZG;8D;BUISNESS
OZG;9A;ULTRAKAIF
OZG;9B;ADVANCE
OZG;9C;ECONOMY
OZG;9D;BASE
OZG;10A;PREMIUM
OZG;10B;ADVANCE
OZG;10C;BASE
OZG;10D;ULTRAKAIF
OZG;11A;ADVANCE
OZG;11B;PREMIUM
OZG;11C;ECONOMY
OZG;11D;BASE
OZG;12A;BUISNESS
OZG;12B;ULTRAKAIF
OZG;12C;PREMIUM
OZG;12D;ULTRAKAIF
OZG;13A;PREMIUM
OZG;13B;BASE
OZG;13C;ECONOMY
OZG;13D;ECONOMY
OZG;14A;ECONOMY
OZG;14B;BUISNESS
OZG;14C;BASE
OZG;14D;ECONOMY
OZG;15A;BASE
OZG;15B;BASE
OZG;15C;BUISNESS
OZG;15D;BASE
OZG;16A;ADVANCE
OZG;16B;ADVANCE
OZG;16C;ECONOMY
OZG;16D;BASE
OZG;17A;PREMIUM
